retrieval,tag,topk,compare,metric,N_pairs,p_raw,p_adj,significant@0.05
BM25only,RQ1_context_length,1 vs 2,top1 - top2,bleu,233,0.01855815270488086,0.01855815270488086,True
BM25only,RQ1_context_length,1 vs 2,top1 - top2,bertscore,233,7.514097051779904e-07,7.514097051779904e-07,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,rouge1,233,2.3487398370765303e-06,2.3487398370765303e-06,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,rouge2,233,1.7302503296266405e-07,1.7302503296266405e-07,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,rougeL,233,2.5172279371410566e-05,2.5172279371410566e-05,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,bleu,233,1.8807983358662307e-07,1.8807983358662307e-07,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,bertscore,233,1.1344028001320658e-18,1.1344028001320658e-18,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,rouge1,233,4.4188030036360966e-07,4.4188030036360966e-07,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,rouge2,233,7.648095237209609e-07,7.648095237209609e-07,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,rougeL,233,0.0001152131855612749,0.0001152131855612749,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,bleu,233,1.2351188962904508e-06,1.2351188962904508e-06,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,bertscore,233,4.010889039244531e-16,4.010889039244531e-16,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,rouge1,233,0.00015565083271298086,0.00015565083271298086,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,rouge2,233,0.0004318206739828712,0.0004318206739828712,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,rougeL,233,0.007348281441449263,0.007348281441449263,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,bleu,233,0.00069829017277384,0.00069829017277384,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,bertscore,233,4.562369636928136e-15,4.562369636928136e-15,True
BM25only,RQ1_context_length,2 vs 3,top2 - top3,rouge1,233,0.00034721625063145945,0.00034721625063145945,True
BM25only,RQ1_context_length,2 vs 3,top2 - top3,rouge2,233,0.000159050692489949,0.000159050692489949,True
BM25only,RQ1_context_length,2 vs 3,top2 - top3,rougeL,233,0.0016770104695813725,0.0016770104695813725,True
